商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
新款纯棉高档睡衣女夏天全棉薄款学生ins风2023年新款家居服套装,230723-542323588503434,已发货，待签收,"63.75	","1.0	","0.0	","62.75	","62.75	","1	",2023/7/24 10:58,"	","498274982588	","全棉25346,XL 【115-130斤】","1414448705155	",#dd#230724-100836330302951#18059530840#2023-07-24#462812724748#23.98##;,无售后或售后取消,"777156256361449	",申通快递,2023/7/23 22:11,否,,"	",
中老年棉绸睡裙女夏季睡衣人造棉连衣裙子中长款大码家居服妈妈装,230723-209463623240835,已取消,"46.75	","1.0	","0.0	","45.75	","45.75	","1	","	","	","497997867264	","4号色,3XL 建议【130-160】斤","1414004729259	","	",无售后或售后取消,"	","	","	","	",,"	",
夏季吊带睡衣纯棉女士棉绸家居服学生公主可爱大码宽绵绸吊带睡裙,230723-282161325112036,已发货，待签收,"54.0	","1.0	","0.0	","53.0	","53.0	","1	",2023/7/25 1:34,"	","498242383806	","吊带米色叶子1,165(L) （105-120斤","1414397037792	",#dd#230724-274716507582951#18059530840#2023-07-24#207522028057#18##;,无售后或售后取消,"463039642589388	",韵达快递,2023/7/23 21:37,否,,"	",
夏季吊带睡衣纯棉女士棉绸家居服学生公主可爱大码宽绵绸吊带睡裙,230723-255150007091863,已发货，待签收,"54.0	","1.0	","0.0	","53.0	","53.0	","1	",2023/7/24 9:38,"	","498242383806	","669蓝灰花束,170(XL) （120-135斤","1414397037878	",#dd#230724-147608125063040#17350128509#2023-07-24#207522028057#18##;,无售后或售后取消,"463030347267592	",韵达快递,2023/7/23 21:01,否,,"	",
夏季吊带睡衣纯棉女士棉绸家居服学生公主可爱大码宽绵绸吊带睡裙,230723-523921069491863,未发货，退款成功,"54.0	","1.0	","0.0	","53.0	","53.0	","1	","	","	","498242383806	","吊带睡裙柠檬,170(XL) （120-135斤","1414397037798	","	",退款成功,"	","	",2023/7/23 20:59,否,,"	",
中老年棉绸睡裙女夏季睡衣人造棉连衣裙子中长款大码家居服妈妈装,230723-620641729931998,已发货，待签收,"46.75	","1.0	","0.0	","45.75	","45.75	","1	",2023/7/25 1:34,"	","497997867264	","5号色,2XL 建议【90-130】斤","1414004729260	",#dd#230724-535402935102951#18059530840#2023-07-24#332683354449#15.8##;,无售后或售后取消,"463039642590231	",韵达快递,2023/7/23 20:47,否,,"	",
纯棉七分裤女夏季薄款亚麻中老年人大码休闲裤显瘦宽松高腰哈伦裤,230723-035740732233395,已发货，待签收,"52.7	","1.0	","0.0	","51.7	","51.7	","1	",2023/7/25 1:50,"	","498368452918	","黑色(单件),3XL 建议145-160斤","1414605972949	",#dd#230724-373471395262951#18059530840#2023-07-24#388098901323#18.8##;,无售后或售后取消,"777156360810015	",申通快递,2023/7/23 20:39,否,,"	",
新款纯棉高档睡衣女夏天全棉薄款学生ins风2023年新款家居服套装,230723-108742655543838,已发货，待签收,"63.75	","1.0	","0.0	","62.75	","62.75	","1	",2023/7/25 1:34,"	","498274982588	","全棉25306,2XL 【130-160斤】","1414448705180	",#dd#230724-421621974462951#18059530840#2023-07-24#462812724748#23.98##;,无售后或售后取消,"777156360809222	",申通快递,2023/7/23 20:38,否,,"	",
中老年女装人造棉睡裙妈妈装大码棉绸睡衣连衣裙休闲宽松家居服夏,230723-097014302151251,已取消,"40.8	","1.0	","0.0	","39.8	","39.8	","1	","	","	","498242998756	","蓝色彩云,3XL 建议130-175斤","1414398240051	","	",无售后或售后取消,"	","	","	","	",,"	",
买一送一妈妈夏装两件套装中年妇女短袖七分裤中老年奶奶洋气冰丝,230723-548536380924075,已发货，待签收,"76.5	","1.0	","0.0	","75.5	","75.5	","1	",2023/7/25 1:34,"	","497994248773	","13号色+17号色,3XL 适合120-140斤","1413999118984	",#dd#230723-672818830142951#18059530840#2023-07-23#484973593276#29.9##;,无售后或售后取消,"777156360809659	",申通快递,2023/7/23 19:35,否,,"	",
纯色棉绸睡衣女短袖长裤两件套夏季新款大码宽松人造棉套装家居服,230723-674035209822929,已发货，待签收,"90.95	","1.0	","0.0	","89.95	","89.95	","1	",2023/7/25 1:34,"	","498241710851	","豆绿,XL（建议110-120斤）","1414396011689	",#dd#230723-168600585662951#18059530840#2023-07-23#345144408481#35.8##;,无售后或售后取消,"777156360810022	",申通快递,2023/7/23 18:39,否,,"	",
【买一送一】夏季薄款短袖睡衣女学生甜美短裤卡通家居服两件套装,230723-504522361771913,已发货，待签收,"65.45	","1.0	","0.0	","64.45	","64.45	","1	",2023/7/25 1:34,"	","497991683684	","米黄小熊+双兔头,XL 建议105-120斤","1413995309282	",#dd#230723-294791422983040#17350128509#2023-07-23#456636135567#25##;,无售后或售后取消,"777156360809975	",申通快递,2023/7/23 18:30,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230723-343849123411344,未发货，退款成功,"96.05	","1.0	","0.0	","95.05	","95.05	","1	","	","	","497984016735	","7SC-短长杏红丁香柿,M（80-100斤）","1413983512331	","	",退款成功,"	","	",2023/7/23 18:22,否,,"	",
睡衣女夏季冰丝短袖2021新款韩版V领薄款仿真丝绸家居服两件套装,230723-209280050192107,已发货，待签收,"97.75	","1.0	","0.0	","96.75	","96.75	","1	",2023/7/25 1:50,"	","497949373095	","V领红色金花+V领金色牡丹花,2XL 【125-145斤】","1413930005303	",#dd#230723-499609793342951#18059530840#2023-07-23#227107608999#39.9##;,无售后或售后取消,"463039642609567	",韵达快递,2023/7/23 18:06,否,,"	",
韩版睡裙女士学生夏季宽松短袖睡衣夏季薄款春秋冬可爱卡通家居服,230723-260602612730578,已发货，待签收,"39.95	","1.0	","0.0	","38.95	","38.95	","1	",2023/7/25 1:50,"	","497979728255	","魅力星星粉,2XL 建议120-135斤【标准码】","1413976897702	",#dd#230723-579936009780442#17039047178#2023-07-23#3292899148#10.99##;,无售后或售后取消,"777156360809131	",申通快递,2023/7/23 17:23,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230723-432857486861801,已发货，待签收,"54.87	","1.0	","0.0	","53.87	","53.87	","1	",2023/7/24 8:38,"	","498282700196	","676方格熊,4XL码 【175-210斤】","1414461455262	",#dd#230723-129530664440013#18030322572#2023-07-23#220495921553#17.8##;,无售后或售后取消,"777155841735865	",申通快递,2023/7/23 16:19,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230723-252035757063347,未发货，退款成功,"64.68	","1.0	","0.0	","63.68	","63.68	","1	","	","	","497947696959	","全棉25192,L 【100-120斤】","1413927064054	",#dd#230723-319286209982951#18059530840#2023-07-23#467267952482#24.98##;,退款成功,"	","	",2023/7/23 16:17,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230723-077636586473423,未发货，退款成功,"54.87	","1.0	","0.0	","53.87	","53.87	","1	","	","	","498282700196	","676方格熊,XXL码 【130-158斤】","1414461455260	","	",退款成功,"	","	",2023/7/23 15:55,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230723-320869580464087,已发货，待签收,"54.87	","1.0	","0.0	","53.87	","53.87	","1	",2023/7/25 1:34,"	","498282700196	","676方格熊,4XL码 【175-210斤】","1414461455262	",#dd#230723-380528311742951#18059530840#2023-07-23#220495921553#17.8##;,无售后或售后取消,"777156360809192	",申通快递,2023/7/23 15:47,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230723-179474349623403,已发货，待签收,"64.68	","1.0	","0.0	","63.68	","63.68	","1	",2023/7/25 1:34,"	","497947696959	","全棉25222,XL 【120-140斤】","1413927064067	",#dd#230723-436186695102951#18059530840#2023-07-23#467267952482#24.98##;,无售后或售后取消,"777156360802578	",申通快递,2023/7/23 15:31,否,,"	",
夏季吊带睡衣纯棉女士棉绸家居服学生公主可爱大码宽绵绸吊带睡裙,230723-410444133310463,已发货，待签收,"54.0	","1.0	","0.0	","53.0	","53.0	","1	",2023/7/24 10:38,"	","498242383806	","669藏青小碎花,170(XL) （120-135斤","1414397037893	",#dd#230723-647149700542951#18059530840#2023-07-23#207522028057#18##;,无售后或售后取消,"463030143929353	",韵达快递,2023/7/23 15:03,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230723-589006192204044,已发货，待签收,"54.87	","1.0	","5.0	","48.87	","53.87	","1	",2023/7/23 14:41,"	","498282700196	","602格子,4XL码 【175-210斤】","1414461455283	",#dd#230723-308999689853409#18030372931#2023-07-23#220495921553#17.8##;,无售后或售后取消,"777155787556075	",申通快递,2023/7/23 10:36,否,,"	",
睡衣女夏季少女短袖七分裤夏天卡通可爱韩版加大码宽松家居服套装,230723-554911691772323,已发货，待签收,"55.25	","1.0	","0.0	","54.25	","54.25	","1	",2023/7/23 15:31,"	","497953576637	","兔与玫瑰短袖七分裤套装女,L","1413936437067	",#dd#230723-448979332542951#18059530840#2023-07-23#136330246093#19.28##;,无售后或售后取消,"777155777184739	",申通快递,2023/7/23 10:24,否,,"	",
睡衣女夏季少女短袖七分裤夏天卡通可爱韩版加大码宽松家居服套装,230723-088195746812323,已取消,"55.25	","1.0	","0.0	","54.25	","54.25	","1	","	","	","497953576637	","兔与玫瑰短袖七分裤套装女,L","1413936437067	","	",无售后或售后取消,"	","	","	","	",,"	",
纯棉七分裤女夏季薄款亚麻中老年人大码休闲裤显瘦宽松高腰哈伦裤,230723-205400329241916,已发货，待签收,"52.7	","1.0	","0.0	","51.7	","51.7	","1	",2023/7/23 17:02,"	","498368452918	","白色(单件),4XL 建议160-180斤","1414605972944	",#dd#230723-241759722302951#18059530840#2023-07-23#388098901323#18.8##;,无售后或售后取消,"777155813793881	",申通快递,2023/7/23 10:19,否,,"	",
买一送一妈妈夏装两件套装中年妇女短袖七分裤中老年奶奶洋气冰丝,230723-066757620681227,已发货，待签收,"76.5	","1.0	","0.0	","75.5	","75.5	","1	",2023/7/23 17:02,"	","497994248773	","13号色+9号色,3XL 适合120-140斤","1413999118948	",#dd#230723-361056213822951#18059530840#2023-07-23#484973593276#29.9##;,无售后或售后取消,"777155813793741	",申通快递,2023/7/23 9:55,否,,"	",
买一送一妈妈夏装两件套装中年妇女短袖七分裤中老年奶奶洋气冰丝,230723-322458131401227,已取消,"76.5	","1.0	","0.0	","75.5	","75.5	","1	","	","	","497994248773	","13号色+9号色,3XL 适合120-140斤","1413999118948	","	",无售后或售后取消,"	","	","	","	",,"	",
中老年女装人造棉睡裙妈妈装大码棉绸睡衣连衣裙休闲宽松家居服夏,230723-275403304330872,未发货，退款成功,"40.8	","1.0	","0.0	","39.8	","39.8	","1	","	","	","498242998756	","玫红孔雀花,2XL 建议90-138斤","1414398240012	",#dd#230723-101586051902951#18059530840#2023-07-23#6601635011#13.3##;,退款成功,"	","	",2023/7/23 9:51,否,,"	",
纯棉七分裤女夏季薄款亚麻中老年人大码休闲裤显瘦宽松高腰哈伦裤,230723-511516384261206,已发货，待签收,"90.1	","1.0	","0.0	","89.1	","89.1	","1	",2023/7/23 17:02,"	","498368452918	","白色+黑色【两件装】,2XL 建议130-145斤","1414605972858	",#dd#230723-323454257982951#18059530840#2023-07-23#388098901323#36.5##;,无售后或售后取消,"777155813795745	",申通快递,2023/7/23 9:50,否,,"	",
新款纯棉高档睡衣女夏天全棉薄款学生ins风2023年新款家居服套装,230723-198836274572606,已发货，待签收,"63.75	","1.0	","0.0	","62.75	","62.75	","1	",2023/7/23 11:20,"	","498274982588	","全棉25233,XL 【115-130斤】","1414448705163	",#dd#230723-176307608382951#18059530840#2023-07-23#462812724748#23.98##;,无售后或售后取消,"777155749847695	",申通快递,2023/7/23 9:49,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230723-244176690022503,已发货，待签收,"54.87	","1.0	","0.0	","53.87	","53.87	","1	",2023/7/23 11:20,"	","498282700196	","677紫库洛米,5XL码 【210-240斤】","1414461455270	",#dd#230723-678622688162310#17350130610#2023-07-23#220495921553#17.8##;,无售后或售后取消,"777155749848889	",申通快递,2023/7/23 9:03,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230723-229470453272838,已发货，待签收,"54.87	","1.0	","0.0	","53.87	","53.87	","1	",2023/7/23 11:20,"	","498282700196	","678草莓玉桂狗,4XL码 【175-210斤】","1414461455276	",#dd#230723-481789223842310#17350130610#2023-07-23#220495921553#17.8##;,无售后或售后取消,"777155749848567	",申通快递,2023/7/23 8:47,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230723-267900753452995,未发货，退款成功,"96.05	","1.0	","0.0	","95.05	","95.05	","1	","	","	","497984016735	","7SC-短长藕荷晚樱,M（80-100斤）","1413983512319	",#dd#230723-645188894142951#18059530840#2023-07-23#234274278338#39##;,退款成功,"	","	",2023/7/23 8:31,否,,"	",
中老年女装人造棉睡裙妈妈装大码棉绸睡衣连衣裙休闲宽松家居服夏,230723-510939698790135,已发货，待签收,"40.8	","1.0	","0.0	","39.8	","39.8	","1	",2023/7/23 10:50,"	","498242998756	","蓝色郁金香,2XL 建议90-138斤","1414398240004	",#dd#230723-068021164862951#18059530840#2023-07-23#6601635011#13.3##;,无售后或售后取消,"463033367761568	",韵达快递,2023/7/23 7:23,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230723-456702053382240,已发货，退款成功,"96.05	","1.0	","0.0	","95.05	","95.05	","1	",2023/7/23 10:30,"	","497984016735	","7SC-短长蓝底晚樱,XXL（136-150斤）","1413983512326	",#dd#230723-015854550462951#18059530840#2023-07-23#234274278338#39##;,退款成功,"463031944741428	",韵达快递,2023/7/23 7:08,否,,"	",
【买一送一】冰丝睡衣女夏季套短袖薄款仿真丝网红夏天家居服套装,230723-508029890012142,已发货，待签收,"75.65	","1.0	","0.0	","74.65	","74.65	","1	",2023/7/23 17:52,"	","498001812942	","【两件套】蓝雪熊+维尼熊黑,XXL码 【120-140斤】","1414010665454	",#dd#230723-602239190653409#18030372931#2023-07-23#228457492001#29.8##;,无售后或售后取消,"463032831948841	",韵达快递,2023/7/23 0:48,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230723-190321806371058,已发货，待签收,"96.05	","1.0	","0.0	","95.05	","95.05	","1	",2023/7/23 10:30,"	","497984016735	","7SC-短长蓝底晚樱,M（80-100斤）","1413983512323	",#dd#230723-556007433213409#18030372931#2023-07-23#234274278338#39##;,无售后或售后取消,"463031944815715	",韵达快递,2023/7/23 0:23,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230723-207827813894003,已发货，待签收,"96.05	","1.0	","0.0	","95.05	","95.05	","1	",2023/7/23 10:30,"	","497984016735	","7SC-短长藕荷晚樱,XL（121-135斤）","1413983512321	",#dd#230723-019477308413409#18030372931#2023-07-23#234274278338#39##;,售后处理中,"463031944812550	",韵达快递,2023/7/23 0:15,否,,"	",
韩版睡裙女士学生夏季宽松短袖睡衣夏季薄款春秋冬可爱卡通家居服,230722-085023835540610,已发货，待签收,"39.95	","1.0	","0.0	","38.95	","38.95	","1	",2023/7/23 13:31,"	","497979728255	","魅力星星紫,XL 建议105-120斤【不掉色】","1413976897696	",#dd#230723-009075506813409#18030372931#2023-07-23#3292899148#10.99##;,无售后或售后取消,"777155772721716	",申通快递,2023/7/22 23:44,否,,"	",
中老年女装人造棉睡裙妈妈装大码棉绸睡衣连衣裙休闲宽松家居服夏,230722-099142900701279,已发货，待签收,"40.8	","1.0	","0.0	","39.8	","39.8	","1	",2023/7/23 10:50,"	","498242998756	","蓝色郁金香,3XL 建议130-175斤","1414398240005	",#dd#230723-138307235262951#18059530840#2023-07-23#6601635011#13.3##;,无售后或售后取消,"463033367900092	",韵达快递,2023/7/22 23:40,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230722-511039271772285,已签收,"54.87	","1.0	","0.0	","53.87	","53.87	","1	",2023/7/23 11:20,2023/7/26 13:45,"498282700196	","263紫大嘴怪,5XL码 【210-240斤】","1414461455368	",#dd#230723-580376401342951#18059530840#2023-07-23#220495921553#17.8##;,无售后或售后取消,"777155749843989	",申通快递,2023/7/22 23:25,否,,"	",
新款纯棉高档睡衣女夏天全棉薄款学生ins风2023年新款家居服套装,230722-469442283152700,已发货，待签收,"63.75	","1.0	","0.0	","62.75	","62.75	","1	",2023/7/23 9:50,"	","498274982588	","全棉25233,XL 【115-130斤】","1414448705163	",#dd#230723-537547252712107#18959505538#2023-07-23#462812724748#23.98##;,无售后或售后取消,"777155692728640	",申通快递,2023/7/22 22:55,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230722-161187122143268,已发货，待签收,"64.68	","1.0	","5.0	","58.68	","63.68	","1	",2023/7/23 10:00,"	","497947696959	","全棉25223,XL 【120-140斤】","1413927064079	",#dd#230723-519328306792107#18959505538#2023-07-23#467267952482#24.98##;,无售后或售后取消,"777155701129858	",申通快递,2023/7/22 22:35,否,,"	",
中老年女装人造棉睡裙妈妈装大码棉绸睡衣连衣裙休闲宽松家居服夏,230722-436186673951445,已发货，待签收,"40.8	","1.0	","0.0	","39.8	","39.8	","1	",2023/7/23 10:50,"	","498242998756	","浅绿底小碎花,2XL 建议90-138斤","1414398240056	",#dd#230723-317445979783040#17350128509#2023-07-23#6601635011#13.3##;,无售后或售后取消,"463033367871869	",韵达快递,2023/7/22 22:35,否,,"	",
